Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
our-subscription-box,,,,,,,,1 Hver Farve,,L,,Sort,HvidXS-32,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,1 Hver Farve,,XL,,Hvid,HvidXS-33,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,1 Hver Farve,,XL,,Sort,HvidXS-34,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,1 Hver Farve,,XXL,,Hvid,HvidXS-35,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,1 Hver Farve,,XXL,,Sort,HvidXS-36,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XS,,Hvid,HvidXS-37,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XS,,Sort,HvidXS-38,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,S,,Hvid,HvidXS-39,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,S,,Sort,HvidXS-40,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,M,,Hvid,HvidXS-41,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,M,,Sort,HvidXS-42,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,L,,Hvid,HvidXS-43,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,L,,Sort,HvidXS-44,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XL,,Hvid,HvidXS-45,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XL,,Sort,HvidXS-46,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XXL,,Hvid,HvidXS-47,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
our-subscription-box,,,,,,,,2 Hver Farve,,XXL,,Sort,HvidXS-48,500,shopify,74,deny,manual,139.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,
